UniqueIdentifier EntryName NumberTRs
Q15678 PTN14_HUMAN 1
Q14671 PUM1_HUMAN 1
P40424 PBX1_HUMAN 1
Q8NBP7 PCSK9_HUMAN 1
Q9UKA9 PTBP2_HUMAN 1
O60237 MYPT2_HUMAN 1
O15457 MSH4_HUMAN 1
Q5VST9 OBSCN_HUMAN 1
Q6P9F7 LRC8B_HUMAN 1
Q96P20 NLRP3_HUMAN 1
P42345 MTOR_HUMAN 1
Q9NP64 NO40_HUMAN 1
Q9Y3T9 NOC2L_HUMAN 1
Q5VT99 LRC38_HUMAN 1
P23759 PAX7_HUMAN 1
Q8TE12 LMX1A_HUMAN 1
Q5VSG8 MANEL_HUMAN 1
Q9P2G4 MAP10_HUMAN 1
P29536 LMOD1_HUMAN 1
Q96NY8 NECT4_HUMAN 1
Q0ZGT2 NEXN_HUMAN 1
P41271 NBL1_HUMAN 1
Q12857 NFIA_HUMAN 2
P48681 NEST_HUMAN 1
Q99698 LYST_HUMAN 1
O95544 NADK_HUMAN 1
Q01658 NC2B_HUMAN 1
P25189 MYP0_HUMAN 1
Q14114 LRP8_HUMAN 1
Q8NEY1 NAV1_HUMAN 2
Q8WYP5 ELYS_HUMAN 1
Q8N8S7 ENAH_HUMAN 3
Q96MA1 DMRTB_HUMAN 1
Q96C19 EFHD2_HUMAN 1
P52797 EFNA3_HUMAN 1
Q01459 DIAC_HUMAN 1
Q68CQ4 DIEXF_HUMAN 1
O75064 DEN4B_HUMAN 1
Q9NW68 BSDC1_HUMAN 1
P21127 CD11B_HUMAN 2
Q9UQ88 CD11A_HUMAN 2
Q86V15 CASZ1_HUMAN 1
Q96S94 CCNL2_HUMAN 2
Q9HCU4 CELR2_HUMAN 2
Q53HL2 BOREA_HUMAN 2
O94985 CSTN1_HUMAN 1
Q5TAQ9 DCAF8_HUMAN 1
Q5TA89 HES5_HUMAN 1
Q96SC8 DMTA2_HUMAN 3
Q13347 EIF3I_HUMAN 1
Q9NZ56 FMN2_HUMAN 2
O60548 FOXD2_HUMAN 3
Q9UJU5 FOXD3_HUMAN 4
P02746 C1QB_HUMAN 1
P02747 C1QC_HUMAN 1
Q5T0F9 C2D1B_HUMAN 1
Q58F21 BRDT_HUMAN 1
B7Z1M9 C2D4D_HUMAN 1
Q8N126 CADM3_HUMAN 1
O75052 CAPON_HUMAN 1
Q8IYL3 CA174_HUMAN 1
P04066 FUCO_HUMAN 1
Q96AE4 FUBP1_HUMAN 1
Q4LE39 ARI4B_HUMAN 4
Q8TDI0 CHD5_HUMAN 3
Q9BTT0 AN32E_HUMAN 2
Q9BVH7 SIA7E_HUMAN 1
Q6ZMZ0 RN19B_HUMAN 1
Q92954 PRG4_HUMAN 1
Q5TC82 RC3H1_HUMAN 1
Q9P215 POGK_HUMAN 1
O75038 PLCH2_HUMAN 1
O94827 PKHG5_HUMAN 2
Q9HB90 RRAGC_HUMAN 1
Q9BQI5 SGIP1_HUMAN 2
Q9Y3B9 RRP15_HUMAN 1
Q9BT43 RPC7L_HUMAN 1
Q92733 PRCC_HUMAN 1
A1L453 PRS38_HUMAN 1
Q8NAV1 PR38A_HUMAN 1
P51888 PRELP_HUMAN 1
Q13029 PRDM2_HUMAN 3
Q9P2R6 RERE_HUMAN 2
P48382 RFX5_HUMAN 1
Q9BZE1 RM37_HUMAN 1
Q5VT52 RPRD2_HUMAN 3
Q96A28 SLAF9_HUMAN 1
Q9UPU5 UBP24_HUMAN 1
Q14157 UBP2L_HUMAN 1
Q9H0R3 TM222_HUMAN 1
Q96GM8 TOE1_HUMAN 1
P48023 TNFL6_HUMAN 1
P20333 TNR1B_HUMAN 1
Q9P2J2 TUTLA_HUMAN 1
Q8NAP8 ZBT8B_HUMAN 1
Q9Y2X9 ZN281_HUMAN 1
Q5BKZ1 ZN326_HUMAN 1
Q9P217 ZSWM5_HUMAN 1
Q9H7D7 WDR26_HUMAN 1
Q9Y6W5 WASF2_HUMAN 3
Q5T1R4 ZEP3_HUMAN 2
Q9NUE0 ZDH18_HUMAN 1
O15156 ZBT7B_HUMAN 2
Q5T0B9 ZN362_HUMAN 1
O95218 ZRAB2_HUMAN 3
P86452 ZBED6_HUMAN 1
Q9Y2W1 TR150_HUMAN 3
Q08170 SRSF4_HUMAN 4
O00165 HAX1_HUMAN 1
A1L020 MEX3A_HUMAN 2
Q9BU76 MMTA2_HUMAN 1
Q6TDP4 KLH17_HUMAN 1
Q8N108 MIER1_HUMAN 1
Q495T6 MMEL1_HUMAN 1
Q9UGI6 KCNN3_HUMAN 2
P56696 KCNQ4_HUMAN 1
Q14739 LBR_HUMAN 1
O75037 KI21B_HUMAN 2
O60333 KIF1B_HUMAN 1
Q9P206 K1522_HUMAN 2
Q9BXM7 PINK1_HUMAN 1
P07919 QCR6_HUMAN 1
O00391 QSOX1_HUMAN 1
Q96T37 RBM15_HUMAN 4
P42696 RBM34_HUMAN 1
A0A096LP55 QCR6L_HUMAN 1
P14859 PO2F1_HUMAN 1
Q7Z5L7 PODN_HUMAN 2
Q5VTL8 PR38B_HUMAN 3
Q03052 PO3F1_HUMAN 6
Q9Y520 PRC2C_HUMAN 5
Q96PI1 SPRR4_HUMAN 1
Q96L92 SNX27_HUMAN 2
Q9H040 SPRTN_HUMAN 1
Q8IYB3 SRRM1_HUMAN 3
Q9NUC0 SRTD4_HUMAN 1
Q05519 SRS11_HUMAN 1
Q69YW2 STUM_HUMAN 1
Q5VX71 SUSD4_HUMAN 1
Q8TAD8 SNIP1_HUMAN 1
Q9UPN9 TRI33_HUMAN 2
Q6ZTA4 TRI67_HUMAN 3
Q6Q759 SPG17_HUMAN 1
Q5VWQ0 RSBN1_HUMAN 2
P23246 SFPQ_HUMAN 1
Q9NX07 TSAP1_HUMAN 1
Q15431 SYCP1_HUMAN 1
Q7RTX0 TS1R3_HUMAN 1
Q5VXT5 SYPL2_HUMAN 1
Q7RTX1 TS1R1_HUMAN 1
Q8NBP0 TTC13_HUMAN 2
Q9BW04 SARG_HUMAN 1
O75056 SDC3_HUMAN 3
Q5VZ18 SHE_HUMAN 1
Q9BZQ2 SHP1L_HUMAN 1
O75069 TMCC2_HUMAN 1
Q9H3T2 SEM6C_HUMAN 1
Q12874 SF3A3_HUMAN 2
P0DME0 SETLP_HUMAN 1
Q2M3M2 SC5A9_HUMAN 1
Q96GD3 SCMH1_HUMAN 1
Q9BYC2 SCOT2_HUMAN 1
Q9NZV5 SELN_HUMAN 1
O60779 S19A2_HUMAN 1
Q5JRA6 TGO1_HUMAN 1
P17542 TAL1_HUMAN 2
Q2MKA7 RSPO1_HUMAN 1
Q93097 WNT2B_HUMAN 1
P45379 TNNT2_HUMAN 1
Q14146 URB2_HUMAN 1
Q5T4S7 UBR4_HUMAN 3
A0A0A0MRH8 A0A0A0MRH8_HUMAN 1
Q5TAQ7 Q5TAQ7_HUMAN 1
Q5SY18 Q5SY18_HUMAN 2
F8W689 F8W689_HUMAN 1
A0A087X027 A0A087X027_HUMAN 1
A0A087WTY6 A0A087WTY6_HUMAN 1
A2A3C1 A2A3C1_HUMAN 1
A0A2R8YEG7 A0A2R8YEG7_HUMAN 1
P42684 ABL2_HUMAN 1
E5RJM6 ANR65_HUMAN 1
P16066 ANPRA_HUMAN 1
Q9UKB5 AJAP1_HUMAN 2
Q5TGY3 AHDC1_HUMAN 3
O60241 AGRB2_HUMAN 1
P50406 5HT6R_HUMAN 1
O14497 ARI1A_HUMAN 9
Q86WJ1 CHD1L_HUMAN 1
Q96AQ9 F131C_HUMAN 1
P29317 EPHA2_HUMAN 1
Q8WUP2 FBLI1_HUMAN 2
P29322 EPHA8_HUMAN 1
Q9UQ84 EXO1_HUMAN 1
Q8IYI6 EXOC8_HUMAN 1
A6PVY3 F177B_HUMAN 1
O00155 GPR25_HUMAN 1
B1AK53 ESPN_HUMAN 3
Q9NVM1 EVA1B_HUMAN 1
Q9UK22 FBX2_HUMAN 1
P30273 FCERG_HUMAN 1
P52798 EFNA4_HUMAN 1
O95886 DLGP3_HUMAN 1
Q53ET0 CRTC2_HUMAN 1
O94886 CSCL1_HUMAN 1
Q8NFW5 DMBX1_HUMAN 1
O60883 G37L1_HUMAN 1
P49454 CENPF_HUMAN 2
Q9C0B2 CFA74_HUMAN 1
Q5SZQ8 CELF3_HUMAN 1
Q5T442 CXG2_HUMAN 2
Q15053 K0040_HUMAN 1
Q68E01 INT3_HUMAN 3
Q86VI3 IQGA3_HUMAN 1
Q96P70 IPO9_HUMAN 2
Q8IYS2 K2013_HUMAN 1
O60341 KDM1A_HUMAN 1
O75054 IGSF3_HUMAN 1
Q9GZN0 GPR88_HUMAN 1
Q8NBF1 GLIS1_HUMAN 1
Q12905 ILF2_HUMAN 1
Q3T8J9 GON4L_HUMAN 2
Q93033 IGSF2_HUMAN 1
Q9NS18 GLRX2_HUMAN 1
O43432 IF4G3_HUMAN 1
Q02575 HEN1_HUMAN 1
