UniqueIdentifier EntryName GeneName NumberTRs
Q15678 PTN14_HUMAN PTPN14 1
Q14671 PUM1_HUMAN PUM1 1
P40424 PBX1_HUMAN PBX1 1
Q8NBP7 PCSK9_HUMAN PCSK9 1
Q9UKA9 PTBP2_HUMAN PTBP2 1
O60237 MYPT2_HUMAN PPP1R12B 1
O15457 MSH4_HUMAN MSH4 1
Q5VST9 OBSCN_HUMAN OBSCN 1
Q6P9F7 LRC8B_HUMAN LRRC8B 1
Q96P20 NLRP3_HUMAN NLRP3 1
P42345 MTOR_HUMAN MTOR 1
Q9NP64 NO40_HUMAN ZCCHC17 1
Q9Y3T9 NOC2L_HUMAN NOC2L 1
Q5VT99 LRC38_HUMAN LRRC38 1
P23759 PAX7_HUMAN PAX7 1
Q8TE12 LMX1A_HUMAN LMX1A 1
Q5VSG8 MANEL_HUMAN MANEAL 1
Q9P2G4 MAP10_HUMAN MAP10 1
P29536 LMOD1_HUMAN LMOD1 1
Q96NY8 NECT4_HUMAN NECTIN4 1
Q0ZGT2 NEXN_HUMAN NEXN 1
P41271 NBL1_HUMAN NBL1 1
Q12857 NFIA_HUMAN NFIA 2
P48681 NEST_HUMAN NES 1
Q99698 LYST_HUMAN LYST 1
O95544 NADK_HUMAN NADK 1
Q01658 NC2B_HUMAN DR1 1
P25189 MYP0_HUMAN MPZ 1
Q14114 LRP8_HUMAN LRP8 1
Q8NEY1 NAV1_HUMAN NAV1 2
Q8WYP5 ELYS_HUMAN AHCTF1 1
Q8N8S7 ENAH_HUMAN ENAH 3
Q96MA1 DMRTB_HUMAN DMRTB1 1
Q96C19 EFHD2_HUMAN EFHD2 1
P52797 EFNA3_HUMAN EFNA3 1
Q01459 DIAC_HUMAN CTBS 1
Q68CQ4 DIEXF_HUMAN DIEXF 1
O75064 DEN4B_HUMAN DENND4B 1
Q9NW68 BSDC1_HUMAN BSDC1 1
P21127 CD11B_HUMAN CDK11B 2
Q9UQ88 CD11A_HUMAN CDK11A 2
Q86V15 CASZ1_HUMAN CASZ1 1
Q96S94 CCNL2_HUMAN CCNL2 2
Q9HCU4 CELR2_HUMAN CELSR2 2
Q53HL2 BOREA_HUMAN CDCA8 2
O94985 CSTN1_HUMAN CLSTN1 1
Q5TAQ9 DCAF8_HUMAN DCAF8 1
Q5TA89 HES5_HUMAN HES5 1
Q96SC8 DMTA2_HUMAN DMRTA2 3
Q13347 EIF3I_HUMAN EIF3I 1
Q9NZ56 FMN2_HUMAN FMN2 2
O60548 FOXD2_HUMAN FOXD2 3
Q9UJU5 FOXD3_HUMAN FOXD3 4
P02746 C1QB_HUMAN C1QB 1
P02747 C1QC_HUMAN C1QC 1
Q5T0F9 C2D1B_HUMAN CC2D1B 1
Q58F21 BRDT_HUMAN BRDT 1
B7Z1M9 C2D4D_HUMAN C2CD4D 1
Q8N126 CADM3_HUMAN CADM3 1
O75052 CAPON_HUMAN NOS1AP 1
Q8IYL3 CA174_HUMAN C1orf174 1
P04066 FUCO_HUMAN FUCA1 1
Q96AE4 FUBP1_HUMAN FUBP1 1
Q4LE39 ARI4B_HUMAN ARID4B 4
Q8TDI0 CHD5_HUMAN CHD5 3
Q9BTT0 AN32E_HUMAN ANP32E 2
Q9BVH7 SIA7E_HUMAN ST6GALNAC5 1
Q6ZMZ0 RN19B_HUMAN RNF19B 1
Q92954 PRG4_HUMAN PRG4 1
Q5TC82 RC3H1_HUMAN RC3H1 1
Q9P215 POGK_HUMAN POGK 1
O75038 PLCH2_HUMAN PLCH2 1
O94827 PKHG5_HUMAN PLEKHG5 2
Q9HB90 RRAGC_HUMAN RRAGC 1
Q9BQI5 SGIP1_HUMAN SGIP1 2
Q9Y3B9 RRP15_HUMAN RRP15 1
Q9BT43 RPC7L_HUMAN POLR3GL 1
Q92733 PRCC_HUMAN PRCC 1
A1L453 PRS38_HUMAN PRSS38 1
Q8NAV1 PR38A_HUMAN PRPF38A 1
P51888 PRELP_HUMAN PRELP 1
Q13029 PRDM2_HUMAN PRDM2 3
Q9P2R6 RERE_HUMAN RERE 2
P48382 RFX5_HUMAN RFX5 1
Q9BZE1 RM37_HUMAN MRPL37 1
Q5VT52 RPRD2_HUMAN RPRD2 3
Q96A28 SLAF9_HUMAN SLAMF9 1
Q9UPU5 UBP24_HUMAN USP24 1
Q14157 UBP2L_HUMAN UBAP2L 1
Q9H0R3 TM222_HUMAN TMEM222 1
Q96GM8 TOE1_HUMAN TOE1 1
P48023 TNFL6_HUMAN FASLG 1
P20333 TNR1B_HUMAN TNFRSF1B 1
Q9P2J2 TUTLA_HUMAN IGSF9 1
Q8NAP8 ZBT8B_HUMAN ZBTB8B 1
Q9Y2X9 ZN281_HUMAN ZNF281 1
Q5BKZ1 ZN326_HUMAN ZNF326 1
Q9P217 ZSWM5_HUMAN ZSWIM5 1
Q9H7D7 WDR26_HUMAN WDR26 1
Q9Y6W5 WASF2_HUMAN WASF2 3
Q5T1R4 ZEP3_HUMAN HIVEP3 2
Q9NUE0 ZDH18_HUMAN ZDHHC18 1
O15156 ZBT7B_HUMAN ZBTB7B 2
Q5T0B9 ZN362_HUMAN ZNF362 1
O95218 ZRAB2_HUMAN ZRANB2 3
P86452 ZBED6_HUMAN ZBED6 1
Q9Y2W1 TR150_HUMAN THRAP3 3
Q08170 SRSF4_HUMAN SRSF4 4
O00165 HAX1_HUMAN HAX1 1
A1L020 MEX3A_HUMAN MEX3A 2
Q9BU76 MMTA2_HUMAN MMTAG2 1
Q6TDP4 KLH17_HUMAN KLHL17 1
Q8N108 MIER1_HUMAN MIER1 1
Q495T6 MMEL1_HUMAN MMEL1 1
Q9UGI6 KCNN3_HUMAN KCNN3 2
P56696 KCNQ4_HUMAN KCNQ4 1
Q14739 LBR_HUMAN LBR 1
O75037 KI21B_HUMAN KIF21B 2
O60333 KIF1B_HUMAN KIF1B 1
Q9P206 K1522_HUMAN KIAA1522 2
Q9BXM7 PINK1_HUMAN PINK1 1
P07919 QCR6_HUMAN UQCRH 1
O00391 QSOX1_HUMAN QSOX1 1
Q96T37 RBM15_HUMAN RBM15 4
P42696 RBM34_HUMAN RBM34 1
A0A096LP55 QCR6L_HUMAN UQCRHL 1
P14859 PO2F1_HUMAN POU2F1 1
Q7Z5L7 PODN_HUMAN PODN 2
Q5VTL8 PR38B_HUMAN PRPF38B 3
Q03052 PO3F1_HUMAN POU3F1 6
Q9Y520 PRC2C_HUMAN PRRC2C 5
Q96PI1 SPRR4_HUMAN SPRR4 1
